,Unnamed: 0,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
22,Assumption College,Yes,2135,1700,491,23,59,1708,689,12000,5920,500,500,93,93,13.8,30,7100,88,Assumption College,Massachusetts,MA,Private,4 Year,12694.0,40958,53652,40958,53652
23,Augustana College,Yes,761,725,306,21,58,1337,300,10990,3244,600,1021,66,70,10.4,30,6871,69,Augustana College,Illinois,IL,Private,4 Year,10572.0,42135,52707,42135,52707
24,Austin College,Yes,948,798,295,42,74,1120,15,11280,4342,400,1150,81,95,13.0,33,11361,71,Austin College,Texas,TX,Private,4 Year,12527.0,39985,52512,39985,52512
25,Baker University,Yes,602,483,206,21,47,958,466,8620,4100,400,2250,58,68,11.0,21,6136,65,Baker University,Kansas,KS,Private,4 Year,8410.0,29830,38240,29830,38240
26,Bard College,Yes,1910,838,285,50,85,1004,15,19264,6206,750,750,98,98,10.4,30,13894,79,Bard College,New York,NY,Private,4 Year,15488.0,54680,70168,54680,70168
27,Barnard College,Yes,2496,1402,531,53,95,2121,69,17926,8124,600,850,83,93,10.3,33,12580,91,Barnard College,New York,NY,Private,4 Year,17225.0,55032,72257,55032,72257
28,Barry University,Yes,990,784,279,18,45,1811,3144,11290,5360,600,1800,76,78,12.6,11,9084,72,Barry University,Florida,FL,Private,4 Year,11100.0,29850,40950,29850,40950
29,Baylor University,Yes,6075,5349,2367,34,66,9919,484,6450,3920,600,1346,71,76,18.5,38,7503,72,Baylor University,Texas,TX,Private,4 Year,12595.0,45727,58322,45727,58322
30,Belmont Abbey College,Yes,632,494,129,17,36,709,131,9000,4850,300,2480,78,85,13.2,10,7550,52,Belmont Abbey College,North Carolina,NC,Private,4 Year,10355.0,18500,28855,18500,28855
31,Belmont University,Yes,1220,974,481,28,67,1964,623,7800,3664,650,900,61,61,11.1,19,7614,49,Belmont University,Tennessee,TN,Private,4 Year,12120.0,34310,46430,34310,46430
32,Beloit College,Yes,1320,923,284,26,54,1085,81,16304,3616,355,715,87,95,11.1,26,12957,69,Beloit College,Wisconsin,WI,Private,4 Year,8830.0,50040,58870,50040,58870
33,Bemidji State University,No,1208,877,546,12,36,3796,824,4425,2700,660,1800,57,62,19.6,16,3752,46,Bemidji State University,Minnesota,MN,Public,4 Year,8408.0,8696,17104,8696,17104
34,Benedictine College,Yes,632,620,222,14,24,702,501,9550,3850,350,250,64,84,14.1,18,5922,58,Benedictine College,Kansas,KS,Private,4 Year,10300.0,29530,39830,29530,39830
35,Bennington College,Yes,519,327,114,25,53,457,2,21700,4100,600,500,35,59,10.1,33,16364,55,Bennington College,Vermont,VT,Private,4 Year,15610.0,54360,69970,54360,69970
36,Berry College,Yes,1858,1221,480,37,68,1620,49,8050,3940,350,2375,80,80,16.3,17,10511,63,Berry College,Georgia,GA,Private,4 Year,12770.0,36556,49326,36556,49326
37,Bethany College,Yes,878,816,200,16,41,706,62,8740,3363,550,1700,62,68,11.6,29,7718,48,Bethany College,Kansas,KS,Private,4 Year,10605.0,28475,39080,28475,39080
38,Bethany College,Yes,878,816,200,16,41,706,62,8740,3363,550,1700,62,68,11.6,29,7718,48,Bethany College,West Virginia,WV,Private,4 Year,10580.0,29773,40353,29773,40353
39,Bethel College,Yes,502,384,104,11,28,347,74,6200,2900,600,800,63,63,11.7,13,7623,35,Bethel College,Indiana,IN,Private,4 Year,9000.0,28590,37590,28590,37590
40,Bethel College,Yes,502,384,104,11,28,347,74,6200,2900,600,800,63,63,11.7,13,7623,35,Bethel College,Kansas,KS,Private,4 Year,8850.0,28780,37630,28780,37630
41,Birmingham-Southern College,Yes,805,588,287,67,88,1376,207,11660,4325,400,900,74,79,14.0,34,8649,72,Birmingham-Southern College,Alabama,AL,Private,4 Year,12350.0,17650,30000,17650,30000
42,Blackburn College,Yes,500,336,156,25,55,421,27,6500,2700,500,1000,76,76,14.3,53,8377,51,Blackburn College,Illinois,IL,Private,4 Year,7930.0,22410,30340,22410,30340
43,Bluefield College,Yes,377,358,181,15,30,653,129,7150,4350,450,1500,61,67,17.8,3,6259,53,Bluefield College,Virginia,VA,Private,4 Year,9024.0,25290,34314,25290,34314
44,Boston University,Yes,20192,13007,3810,45,80,14971,3113,18420,6810,475,1025,80,81,11.9,16,16836,72,Boston University,Massachusetts,MA,Private,4 Year,15720.0,53948,69668,53948,69668
45,Bowdoin College,Yes,3356,1019,418,76,100,1490,8,19030,5885,1495,875,93,96,11.2,52,20447,96,Bowdoin College,Maine,ME,Private,4 Year,14698.0,53922,68620,53922,68620
46,Bowling Green State University,No,9251,7333,3076,14,45,13699,1213,7452,3352,600,1700,81,89,21.1,14,6918,67,Bowling Green State University,Ohio,OH,Public,4 Year,9168.0,11105,20273,19093,28261
47,Bradley University,Yes,3767,3414,1061,30,58,4531,643,10870,4440,2000,1522,75,81,14.4,21,7671,85,Bradley University,Illinois,IL,Private,4 Year,10620.0,33760,44380,33760,44380
48,Brandeis University,Yes,4186,2743,740,48,77,2819,62,19380,6750,410,1000,90,97,9.8,24,17150,84,Brandeis University,Massachusetts,MA,Private,4 Year,15440.0,55395,70835,55395,70835
49,Brenau University,Yes,367,274,158,12,41,917,479,9592,5879,500,700,71,80,13.7,12,5935,49,Brenau University,Georgia,GA,Private,4 Year,12418.0,29050,41468,29050,41468
50,Brewton-Parker College,Yes,1436,1228,1202,10,26,1320,822,4371,2370,500,2000,62,62,12.6,10,4900,18,Brewton-Parker College,Georgia,GA,Private,4 Year,7850.0,18690,26540,18690,26540
51,Bridgewater College,Yes,838,673,292,22,53,881,55,10265,4725,560,875,68,73,13.2,24,8655,82,Bridgewater College,Virginia,VA,Private,4 Year,12720.0,35160,47880,35160,47880
52,Brown University,Yes,12586,3239,1462,87,95,5643,349,19528,5926,720,1100,99,100,7.6,39,20440,97,Brown University,Rhode Island,RI,Private,4 Year,14670.0,55656,70326,55656,70326
53,Bryn Mawr College,Yes,1465,810,313,71,95,1088,16,18165,6750,500,1200,100,100,12.3,49,17449,89,Bryn Mawr College,Pennsylvania,PA,Private,4 Year,16500.0,52360,68860,52360,68860
54,Bucknell University,Yes,6548,3813,862,49,85,3316,31,18550,4750,800,1200,95,97,14.2,36,13675,93,Bucknell University,Pennsylvania,PA,Private,4 Year,13662.0,56092,69754,56092,69754
55,Butler University,Yes,2362,2037,700,40,68,2607,148,13130,4650,500,1600,77,81,10.9,29,9511,83,Butler University,Indiana,IN,Private,4 Year,13830.0,41120,54950,41120,54950
56,California Lutheran University,Yes,563,247,247,23,52,1427,432,12950,5300,612,576,72,74,12.4,17,8985,60,California Lutheran University,California,CA,Private,4 Year,13779.0,42693,56472,42693,56472
57,Calvin College,Yes,1784,1512,913,29,56,3401,136,10230,3710,400,1210,75,81,14.8,41,7786,81,Calvin College,Michigan,MI,Private,4 Year,10200.0,34600,44800,34600,44800
58,Campbell University,Yes,2087,1339,657,20,54,3191,1204,7550,2790,600,500,77,77,21.8,34,3739,63,Campbell University,North Carolina,NC,Private,4 Year,11430.0,32500,43930,32500,43930
59,Canisius College,Yes,2853,2193,753,16,34,2978,434,10750,5340,400,1130,90,92,14.6,26,7972,64,Canisius College,New York,NY,Private,4 Year,11300.0,28488,39788,28488,39788
60,Capital University,Yes,1747,1382,449,34,66,1662,960,13050,4000,500,800,64,69,12.1,27,9557,83,Capital University,Ohio,OH,Private,4 Year,10842.0,35466,46308,35466,46308
61,Carleton College,Yes,2694,1579,489,75,93,1870,12,19292,3957,550,550,81,93,10.4,60,17960,91,Carleton College,Minnesota,MN,Private,4 Year,14085.0,54759,68844,54759,68844
62,Carnegie Mellon University,Yes,8728,5201,1191,60,89,4265,291,17900,5690,450,1250,86,93,9.2,31,24386,74,Carnegie Mellon University,Pennsylvania,PA,Private,4 Year,14418.0,55465,69883,55465,69883
63,Carroll College,Yes,1160,991,352,19,55,1357,737,12200,3880,480,930,74,81,17.8,25,7666,79,Carroll College,Montana,MT,Private,4 Year,9880.0,35486,45366,35486,45366
64,Carthage College,Yes,1616,1427,434,20,43,1405,580,13125,3775,500,1300,74,89,15.9,22,7364,62,Carthage College,Wisconsin,WI,Private,4 Year,11990.0,43550,55540,43550,55540
65,Case Western Reserve University,Yes,3877,3156,713,71,93,3051,513,15700,4730,525,1460,95,95,2.9,29,19733,67,Case Western Reserve University,Ohio,OH,Private,4 Year,15190.0,49042,64232,49042,64232
66,Catawba College,Yes,1083,880,291,13,34,915,80,9270,4100,600,1860,75,82,13.5,27,8425,55,Catawba College,North Carolina,NC,Private,4 Year,10488.0,30520,41008,30520,41008
68,Cazenovia College,Yes,3847,3433,527,9,35,1010,12,9384,4840,600,500,22,47,14.3,20,7697,118,Cazenovia College,New York,NY,Private,4 Year,14596.0,34630,49226,34630,49226
69,Cedar Crest College,Yes,776,607,198,25,58,791,764,14340,5285,500,1000,58,83,11.7,39,10961,74,Cedar Crest College,Pennsylvania,PA,Private,4 Year,11544.0,39216,50760,39216,50760
70,Centenary College of Louisiana,Yes,495,434,210,35,55,775,44,8950,3490,600,1900,86,92,11.3,25,9685,66,Centenary College of Louisiana,Louisiana,LA,Private,4 Year,13400.0,36580,49980,36580,49980
71,Central College,Yes,1283,1113,401,31,65,1355,40,10938,3660,650,600,76,90,13.5,29,8444,67,Central College,Iowa,IA,Private,4 Year,10280.0,37295,47575,37295,47575
72,Central Connecticut State University,No,4158,2532,902,6,24,6394,3881,5962,4444,500,985,69,73,16.7,4,4900,49,Central Connecticut State University,Connecticut,CT,Public,4 Year,12176.0,10616,22792,21856,34032
73,Central Washington University,No,2785,2011,1007,8,65,6507,898,7242,3603,654,1416,67,89,18.1,0,6413,51,Central Washington University,Washington,WA,Public,4 Year,11115.0,8072,19187,23053,34168
74,Centre College,Yes,1013,888,288,55,82,943,7,11850,4270,600,900,95,99,11.4,60,13118,74,Centre College,Kentucky,KY,Private,4 Year,10480.0,41700,52180,41700,52180
75,Chapman University,Yes,959,771,351,23,48,1662,209,16624,5895,600,1100,72,80,12.8,6,12692,47,Chapman University,California,CA,Private,4 Year,15828.0,52724,68552,52724,68552
76,Chestnut Hill College,Yes,342,254,126,25,64,518,232,10335,5015,700,850,71,71,8.3,29,7729,73,Chestnut Hill College,Pennsylvania,PA,Private,4 Year,11000.0,36180,47180,36180,47180
77,Christendom College,Yes,81,72,51,33,71,139,3,8730,3600,400,800,92,92,9.3,17,10922,58,Christendom College,Virginia,VA,Private,4 Year,10280.0,26360,36640,26360,36640
78,Christian Brothers University,Yes,880,520,224,16,42,1068,364,9300,3260,600,900,81,81,11.1,24,8129,63,Christian Brothers University,Tennessee,TN,Private,4 Year,7400.0,32820,40220,32820,40220
79,Christopher Newport University,No,883,766,428,3,37,2910,1749,7860,4750,525,1889,80,82,21.2,16,4639,48,Christopher Newport University,Virginia,VA,Public,4 Year,11460.0,14754,26214,27220,38680
80,Claremont McKenna College,Yes,1860,767,227,71,93,887,1,17000,6010,500,850,99,99,9.6,52,18443,87,Claremont McKenna College,California,CA,Private,4 Year,16705.0,54405,71110,54405,71110
81,Clark University,Yes,2887,2059,457,30,61,1928,296,17500,4200,500,950,94,95,10.5,35,11951,79,Clark University,Massachusetts,MA,Private,4 Year,9170.0,45730,54900,45730,54900
82,Clarkson University,Yes,2174,1953,557,35,68,2332,53,15960,5580,700,1300,95,95,15.8,32,11659,77,Clarkson University,New York,NY,Private,4 Year,14908.0,49444,64352,49444,64352
83,Clemson University,No,8065,5257,2301,37,65,11755,770,8116,3610,800,1618,82,88,18.0,17,7597,73,Clemson University,South Carolina,SC,Public,4 Year,10832.0,14970,25802,36724,47556
84,Coe College,Yes,1006,742,275,29,60,1127,205,13925,4390,500,2200,73,86,12.7,32,10141,67,Coe College,Iowa,IA,Private,4 Year,9480.0,45000,54480,45000,54480
85,Coker College,Yes,604,452,295,15,47,690,222,9888,4502,400,1000,64,77,12.1,39,8741,75,Coker College,South Carolina,SC,Private,4 Year,9090.0,29328,38418,29328,38418
86,Colby College,Yes,2848,1319,456,58,84,1720,35,18930,5590,500,1000,83,94,10.2,41,15954,91,Colby College,Maine,ME,Private,4 Year,14190.0,55210,69400,55210,69400
87,Colgate University,Yes,4856,2492,727,46,75,2649,25,19510,5565,500,750,95,98,10.5,45,15494,93,Colgate University,New York,NY,Private,4 Year,13995.0,55870,69865,55870,69865
88,College of Charleston,No,4772,3140,1265,22,55,6851,1200,6120,3460,666,2316,73,78,17.2,18,4776,51,College of Charleston,South Carolina,SC,Public,4 Year,12166.0,12738,24904,31920,44086
89,College of Mount St. Vincent,Yes,946,648,177,23,46,707,432,11790,5770,500,1000,75,77,11.9,35,10015,83,College of Mount St. Vincent,New York,NY,Private,4 Year,10500.0,38180,48680,38180,48680
90,College of Saint Rose,Yes,983,664,249,23,57,1698,894,9990,5666,800,1500,66,71,14.3,28,6084,64,College of Saint Rose,New York,NY,Private,4 Year,12714.0,32574,45288,32574,45288
91,College of St. Scholastica,Yes,672,596,278,29,60,1350,275,11844,3696,450,1146,54,76,11.6,33,8996,72,College of St. Scholastica,Minnesota,MN,Private,4 Year,9710.0,37212,46922,37212,46922
92,College of the Holy Cross,Yes,2994,1691,659,70,95,2675,22,18000,6300,400,900,92,96,11.3,55,12138,95,College of the Holy Cross,Massachusetts,MA,Private,4 Year,14520.0,52770,67290,52770,67290
93,College of William and Mary,No,7117,3106,1217,68,88,5186,134,11720,4298,600,800,89,92,12.1,31,9534,93,College of William and Mary,Virginia,VA,Public,4 Year,12236.0,23400,35636,44701,56937
94,College of Wooster,Yes,2100,1883,553,29,65,1704,1,16240,4690,500,500,84,96,11.1,43,14140,69,College of Wooster,Ohio,OH,Private,4 Year,11850.0,50250,62100,50250,62100
95,Colorado College,Yes,3207,1577,490,56,87,1892,7,17142,4190,450,1200,85,97,11.3,51,14664,84,Colorado College,Colorado,CO,Private,4 Year,12512.0,55470,67982,55470,67982
96,Colorado State University,No,9478,6312,2194,29,65,15646,1829,8412,4180,470,1800,87,89,19.2,10,7850,59,Colorado State University,Colorado,CO,Public,4 Year,11964.0,11831,23795,29732,41696
97,Columbia College,Yes,737,614,242,21,67,968,237,10425,3975,500,1500,61,77,14.7,34,8693,76,Columbia College,South Carolina,SC,Private,4 Year,7900.0,19500,27400,19500,27400
98,Columbia College,Yes,737,614,242,21,67,968,237,10425,3975,500,1500,61,77,14.7,34,8693,76,Columbia College,Missouri,MO,Private,4 Year,7808.0,22704,30512,22704,30512
100,Columbia University,Yes,6756,1930,871,78,96,3376,55,18624,6664,550,300,97,98,5.9,21,30639,99,Columbia University,New York,NY,Private,4 Year,14016.0,59985,74001,59985,74001
101,Concordia University,Yes,528,403,186,22,56,1168,145,9216,4191,400,1000,56,64,12.1,13,7309,75,Concordia University,Michigan,MI,Private,4 Year,10310.0,29320,39630,29320,39630
102,Concordia University,Yes,528,403,186,22,56,1168,145,9216,4191,400,1000,56,64,12.1,13,7309,75,Concordia University,Oregon,OR,Private,4 Year,9520.0,30908,40428,30908,40428
103,Concordia University,Yes,528,403,186,22,56,1168,145,9216,4191,400,1000,56,64,12.1,13,7309,75,Concordia University,Nebraska,NE,Private,4 Year,8470.0,32220,40690,32220,40690
104,Connecticut College,Yes,3035,1546,438,42,93,1630,232,18740,6300,600,500,86,95,10.7,40,14773,91,Connecticut College,Connecticut,CT,Private,4 Year,15150.0,54820,69970,54820,69970
105,Converse College,Yes,440,407,149,35,70,643,80,12050,3700,500,900,63,76,10.2,31,10965,75,Converse College,South Carolina,SC,Private,4 Year,10930.0,18690,29620,18690,29620
106,Cornell College,Yes,1538,1329,383,33,68,1140,10,15248,4323,550,800,71,76,12.2,31,10340,64,Cornell College,Iowa,IA,Private,4 Year,9384.0,42299,51683,42299,51683
107,Creighton University,Yes,2967,2836,876,30,60,3450,644,10628,4372,650,2055,85,90,6.5,32,22906,85,Creighton University,Nebraska,NE,Private,4 Year,11036.0,39916,50952,39916,50952
108,Culver-Stockton College,Yes,1576,1110,274,24,55,992,112,8000,3700,400,500,51,52,14.1,28,5807,51,Culver-Stockton College,Missouri,MO,Private,4 Year,8520.0,26680,35200,26680,35200
109,D'Youville College,Yes,866,619,157,18,47,1074,336,8920,4310,680,1320,68,68,14.6,42,6898,46,D'Youville College,New York,NY,Private,4 Year,12224.0,26750,38974,26750,38974
110,Dartmouth College,Yes,8587,2273,1087,87,99,3918,32,19545,6070,550,1100,95,99,4.7,49,29619,98,Dartmouth College,New Hampshire,NH,Private,4 Year,15756.0,55453,71209,55453,71209
111,Davidson College,Yes,2373,956,452,77,96,1601,6,17295,5070,600,1011,95,97,12.0,46,17581,94,Davidson College,North Carolina,NC,Private,4 Year,14372.0,51447,65819,51447,65819
112,Defiance College,Yes,571,461,174,10,26,645,283,10850,3670,400,1159,58,60,12.8,19,7505,56,Defiance College,Ohio,OH,Private,4 Year,10220.0,32730,42950,32730,42950
113,Delta State University,No,967,945,459,15,48,2806,538,4528,1880,500,1200,49,63,17.1,16,5113,58,Delta State University,Mississippi,MS,Public,4 Year,7722.0,7246,14968,7246,14968
114,Denison University,Yes,2762,2279,533,32,60,1835,14,16900,4720,500,600,88,97,11.6,45,12423,81,Denison University,Ohio,OH,Private,4 Year,12710.0,51960,64670,51960,64670
115,DePauw University,Yes,1994,1656,495,50,80,1983,36,14300,5020,550,950,78,94,11.1,31,11525,82,DePauw University,Indiana,IN,Private,4 Year,13020.0,49704,62724,49704,62724
116,Dickinson College,Yes,3014,2539,487,31,68,1889,62,18700,5000,595,1250,87,94,11.2,39,13861,87,Dickinson College,Pennsylvania,PA,Private,4 Year,13698.0,54661,68359,54661,68359
117,Dickinson State University,No,434,412,319,10,30,1376,237,4486,2146,600,2000,50,64,16.5,28,4525,46,Dickinson State University,North Dakota,ND,Public,4 Year,6898.0,6765,13663,9544,16442
118,Dillard University,Yes,1998,1376,651,41,88,1539,45,6700,3650,500,2307,52,52,14.1,12,7566,61,Dillard University,Louisiana,LA,Private,4 Year,10100.0,18099,28199,18099,28199
119,Dominican College of Blauvelt,Yes,360,329,108,4,19,756,863,8310,5500,600,1800,43,43,12.7,5,5480,54,Dominican College of Blauvelt,New York,NY,Private,4 Year,13150.0,29000,42150,29000,42150
120,Dordt College,Yes,604,562,328,25,50,1048,56,9800,2650,450,2800,61,60,12.5,17,7325,87,Dordt College,Iowa,IA,Private,4 Year,9590.0,30870,40460,30870,40460
121,Drake University,Yes,2799,2573,839,34,65,3322,726,13420,4770,560,1675,88,93,15.0,24,9473,77,Drake University,Iowa,IA,Private,4 Year,10528.0,41396,51924,41396,51924
122,Drew University,Yes,2153,1580,321,56,84,1192,87,18432,5616,520,660,93,97,10.2,28,14907,83,Drew University,New Jersey,NJ,Private,4 Year,14108.0,39500,53608,39500,53608
123,Duke University,Yes,13789,3893,1583,90,98,6188,53,18590,5950,625,1162,95,96,5.0,44,27206,97,Duke University,North Carolina,NC,Private,4 Year,15178.0,55695,70873,55695,70873
124,Earlham College,Yes,1358,1006,274,35,63,1028,13,15036,4056,600,600,90,94,10.6,46,14634,78,Earlham College,Indiana,IN,Private,4 Year,10400.0,46450,56850,46450,56850
125,East Carolina University,No,9274,6362,2435,14,44,13171,1687,7248,3240,500,1700,74,78,13.2,18,9002,58,East Carolina University,North Carolina,NC,Public,4 Year,9606.0,7188,16794,23465,33071
126,East Tennessee State University,No,3330,2730,1303,15,36,6706,2640,5800,3000,600,2200,73,75,14.0,9,9825,42,East Tennessee State University,Tennessee,TN,Public,4 Year,8472.0,9277,17749,28459,36931
127,East Texas Baptist University,Yes,379,341,265,10,36,1050,151,4950,2780,530,1500,62,62,15.7,7,5619,38,East Texas Baptist University,Texas,TX,Private,4 Year,9079.0,26370,35449,26370,35449
128,Eastern Connecticut State University,No,2172,1493,564,14,50,2766,1531,5962,4316,650,500,71,76,16.9,14,5719,50,Eastern Connecticut State University,Connecticut,CT,Public,4 Year,13560.0,11356,24916,22596,36156
129,Eastern Illinois University,No,5597,4253,1565,12,38,9161,845,5710,3066,120,1730,62,71,16.2,5,5682,76,Eastern Illinois University,Illinois,IL,Public,4 Year,9882.0,11803,21685,14023,23905
130,Eastern Nazarene College,Yes,516,409,200,17,40,1238,30,8770,3500,450,700,58,58,17.3,17,6430,70,Eastern Nazarene College,Massachusetts,MA,Private,4 Year,9624.0,25598,35222,25598,35222
131,Eckerd College,Yes,1422,1109,366,33,65,1363,23,15360,4080,600,1000,82,89,12.8,26,15003,59,Eckerd College,Florida,FL,Private,4 Year,12588.0,44540,57128,44540,57128
132,Elizabethtown College,Yes,2417,1843,426,36,70,1476,299,14190,4400,500,750,65,68,12.8,25,9815,81,Elizabethtown College,Pennsylvania,PA,Private,4 Year,11370.0,46940,58310,46940,58310
133,Elmira College,Yes,1457,1045,345,27,50,1109,502,14990,4980,450,550,77,98,21.5,21,7502,64,Elmira College,New York,NY,Private,4 Year,12000.0,41900,53900,41900,53900
134,Elms College,Yes,245,208,125,23,46,544,436,11800,4765,450,1700,71,71,11.3,21,8952,86,Elms College,Massachusetts,MA,Private,4 Year,13108.0,35788,48896,35788,48896
135,Emory & Henry College,Yes,765,646,226,30,60,809,32,8578,4408,700,1600,79,88,13.9,51,8061,82,Emory & Henry College,Virginia,VA,Private,4 Year,12100.0,35135,47235,35135,47235
136,Emory University,Yes,8506,4168,1236,76,97,5544,192,17600,6000,600,870,97,98,5.0,28,28457,96,Emory University,Georgia,GA,Private,4 Year,14456.0,51306,65762,51306,65762
137,Emporia State University,No,1256,1256,853,43,79,3957,588,5401,3144,450,1888,72,75,19.3,4,5527,50,Emporia State University,Kansas,KS,Public,4 Year,8912.0,6758,15670,20675,29587
138,Erskine College,Yes,659,557,167,47,74,532,35,10485,3840,475,1246,76,80,13.5,47,7527,67,Erskine College,South Carolina,SC,Private,4 Year,10900.0,34560,45460,34560,45460
139,Eureka College,Yes,560,454,113,36,56,484,16,10955,3450,330,670,62,87,10.6,31,9552,53,Eureka College,Illinois,IL,Private,4 Year,9620.0,25390,35010,25390,35010
140,Evergreen State College,No,1801,1101,438,14,50,3065,363,6297,4600,600,1323,75,78,18.1,14,8355,68,Evergreen State College,Washington,WA,Public,4 Year,11346.0,7949,19295,26459,37805
141,Fairfield University,Yes,4784,3346,781,30,66,2984,1037,15000,6200,700,1100,86,90,15.1,30,11220,94,Fairfield University,Connecticut,CT,Private,4 Year,14710.0,48350,63060,48350,63060
142,Fayetteville State University,No,1455,1064,452,1,16,2632,617,6806,2550,350,766,75,75,15.1,10,6972,24,Fayetteville State University,North Carolina,NC,Public,4 Year,8236.0,4915,13151,16523,24759
143,Ferrum College,Yes,1339,1107,336,12,36,1051,82,9400,4200,500,1600,53,58,12.5,9,7967,22,Ferrum College,Virginia,VA,Private,4 Year,11500.0,34175,45675,34175,45675
144,Flagler College,Yes,1415,714,338,18,52,1345,44,5120,3200,500,2140,52,60,18.1,9,3930,69,Flagler College,Florida,FL,Private,4 Year,11340.0,18950,30290,18950,30290
145,Florida Institute of Technology,Yes,1947,1580,523,39,74,1863,233,13900,4140,750,1500,90,90,10.6,7,8923,57,Florida Institute of Technology,Florida,FL,Private,4 Year,12880.0,41850,54730,41850,54730
146,Florida International University,No,3306,2079,1071,42,89,10208,9310,6597,2494,800,3028,81,96,13.9,20,6722,66,Florida International University,Florida,FL,Public,4 Year,10882.0,6558,17440,18956,29838
